time(s),0.0Hz,0.25Hz,0.5Hz,0.75Hz,1.0Hz,1.25Hz,1.5Hz,1.75Hz,2.0Hz
0.0464,-133.5672,-133.549,-133.4947,-133.4043,-133.2779,-133.116,-132.9189,-132.687,-132.4211
0.0466,-137.5899,-137.5739,-137.5259,-137.446,-137.3344,-137.1912,-137.0167,-136.8113,-136.5754
0.0468,-141.0696,-141.0558,-141.0145,-140.9457,-140.8494,-140.7259,-140.5751,-140.3975,-140.1931
0.047,-143.9925,-143.9811,-143.9467,-143.8894,-143.8092,-143.7062,-143.5802,-143.4314,-143.2599
0.0472,-146.3472,-146.3381,-146.311,-146.2657,-146.2022,-146.1203,-146.02,-145.9013,-145.7639
0.0474,-148.1243,-148.1177,-148.098,-148.0651,-148.0188,-147.9588,-147.8851,-147.7973,-147.6951
0.0476,-149.3168,-149.3128,-149.3008,-149.2805,-149.2519,-149.2145,-149.168,-149.112,-149.0461
0.0478,-149.9201,-149.9187,-149.9145,-149.9072,-149.8967,-149.8823,-149.8638,-149.8403,-149.8114
0.048,-149.9317,-149.9329,-149.9367,-149.9427,-149.9506,-149.9598,-149.9696,-149.9794,-149.9882
0.0482,-149.3515,-149.3555,-149.3674,-149.3868,-149.4134,-149.4464,-149.4852,-149.5286,-149.5757
0.0484,-148.182,-148.1887,-148.2087,-148.2418,-148.2873,-148.3444,-148.4123,-148.4898,-148.5757
0.0486,-146.4276,-146.4371,-146.4654,-146.5121,-146.5766,-146.658,-146.7553,-146.8671,-146.9919
0.0488,-144.0954,-144.1076,-144.1442,-144.2046,-144.2882,-144.3939,-144.5206,-144.6668,-144.8307
0.049,-141.1945,-141.2094,-141.2542,-141.3284,-141.431,-141.5611,-141.7171,-141.8976,-142.1006
0.0492,-137.7363,-137.754,-137.807,-137.8948,-138.0163,-138.1706,-138.3559,-138.5705,-138.8123
0.0494,-133.7346,-133.755,-133.8161,-133.9173,-134.0577,-134.2358,-134.4501,-134.6985,-134.9787
0.0496,-129.2051,-129.2282,-129.2973,-129.4118,-129.5706,-129.7723,-130.0151,-130.2968,-130.6149
0.0498,-124.1656,-124.1914,-124.2683,-124.3958,-124.5728,-124.7977,-125.0684,-125.3828,-125.7381
0.05,-118.6362,-118.6645,-118.7491,-118.8893,-119.084,-119.3314,-119.6295,-119.9759,-120.3675
0.0502,-112.6385,-112.6693,-112.7613,-112.9139,-113.1258,-113.3952,-113.7198,-114.0971,-114.524
