time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.0566,130.9383,130.9383,130.9383,130.9383,130.9383,130.9383
0.0568,135.2749,135.2749,135.2749,135.2749,135.2749,135.2749
0.057,139.0776,139.0776,139.0776,139.0776,139.0776,139.0776
0.0572,142.3314,142.3314,142.3314,142.3314,142.3314,142.3314
0.0574,145.0235,145.0235,145.0235,145.0235,145.0235,145.0235
0.0576,147.1433,147.1433,147.1433,147.1433,147.1433,147.1433
0.0578,148.6823,148.6823,148.6823,148.6823,148.6823,148.6823
0.058,149.6346,149.6346,149.6346,149.6346,149.6346,149.6346
0.0582,149.9963,149.9963,149.9963,149.9963,149.9963,149.9963
0.0584,149.7661,149.7661,149.7661,149.7661,149.7661,149.7661
0.0586,148.9448,148.9448,148.9448,148.9448,148.9448,148.9448
0.0588,147.5357,147.5357,147.5357,147.5357,147.5357,147.5357
0.059,145.5444,145.5444,145.5444,145.5444,145.5444,145.5444
0.0592,142.9786,142.9786,142.9786,142.9786,142.9786,142.9786
0.0594,139.8486,139.8486,139.8486,139.8486,139.8486,139.8486
0.0596,136.1666,136.1666,136.1666,136.1666,136.1666,136.1666
0.0598,131.9473,131.9473,131.9473,131.9473,131.9473,131.9473
0.06,126.3001,127.2072,127.2072,127.2072,127.2072,127.2072
0.0602,120.9631,121.9651,121.9651,121.9651,121.9651,121.9651
0.0604,115.1475,116.2417,116.2417,116.2417,116.2417,116.2417
0.0606,108.8764,110.0595,110.0595,110.0595,110.0595,110.0595
0.0608,102.1745,103.4429,103.4429,103.4429,103.4429,103.4429
0.061,95.0683,96.4181,96.4181,96.4181,96.4181,96.4181
0.0612,87.5861,89.0128,89.0128,89.0128,89.0128,89.0128
0.0614,79.7573,81.2562,81.2562,81.2562,81.2562,81.2562
0.0616,71.6129,73.1789,73.1789,73.1789,73.1789,73.1789
0.0618,63.1851,64.8129,64.8129,64.8129,64.8129,64.8129
0.062,54.5074,56.191,56.191,56.191,56.191,56.191
0.0622,45.614,47.3474,47.3474,47.3474,47.3474,47.3474
0.0624,36.54,38.3169,38.3169,38.3169,38.3169,38.3169
0.0626,27.3215,29.1352,29.1352,29.1352,29.1352,29.1352
0.0628,17.9948,19.8385,19.8385,19.8385,19.8385,19.8385
0.063,8.5969,10.4635,10.4635,10.4635,10.4635,10.4635
0.0632,-0.835,1.0472,1.0472,1.0472,1.0472,1.0472
0.0634,-10.2637,-8.3732,-8.3732,-8.3732,-8.3732,-8.3732
0.0636,-19.6518,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606
0.0638,-28.9622,-27.0779,-27.0779,-27.0779,-27.0779,-27.0779
0.064,-38.1581,-38.1581,-36.2883,-36.2883,-36.2883,-36.2883
0.0642,-47.203,-47.203,-45.3555,-45.3555,-45.3555,-45.3555
0.0644,-56.0612,-56.0612,-54.2437,-54.2437,-54.2437,-54.2437
0.0646,-64.6975,-64.6975,-62.9178,-62.9178,-62.9178,-62.9178
0.0648,-73.078,-73.078,-71.3436,-71.3436,-71.3436,-71.3436
0.065,-81.1693,-81.1693,-79.4879,-79.4879,-79.4879,-79.4879
0.0652,-88.9395,-88.9395,-87.3184,-87.3184,-87.3184,-87.3184
0.0654,-96.3577,-96.3577,-94.8044,-94.8044,-94.8044,-94.8044
0.0656,-103.3948,-103.3948,-101.9162,-101.9162,-101.9162,-101.9162
0.0658,-110.0227,-110.0227,-108.6258,-108.6258,-108.6258,-108.6258
0.066,-116.2153,-116.2153,-114.9067,-114.9067,-114.9067,-114.9067
0.0662,-121.9481,-121.9481,-120.7341,-120.7341,-120.7341,-120.7341
0.0664,-127.1984,-127.1984,-126.085,-126.085,-126.085,-126.085
0.0666,-131.9453,-131.9453,-130.9383,-130.9383,-130.9383,-130.9383
0.0668,-136.1701,-136.1701,-135.2749,-135.2749,-135.2749,-135.2749
0.067,-139.8562,-139.8562,-139.0776,-139.0776,-139.0776,-139.0776
0.0672,-142.9888,-142.9888,-142.3314,-142.3314,-142.3314,-142.3314
0.0674,-145.5556,-145.5556,-145.0235,-145.0235,-145.0235,-145.0235
0.0676,-147.5464,-147.5464,-147.1433,-147.1433,-147.1433,-147.1433
0.0678,-148.9533,-148.9533,-148.6823,-148.6823,-148.6823,-148.6823
0.068,-149.7708,-149.7708,-149.7708,-149.6346,-149.6346,-149.6346
0.0682,-149.9956,-149.9956,-149.9956,-149.9963,-149.9963,-149.9963
0.0684,-149.6269,-149.6269,-149.6269,-149.7661,-149.7661,-149.7661
0.0686,-148.666,-148.666,-148.666,-148.9448,-148.9448,-148.9448
0.0688,-147.1168,-147.1168,-147.1168,-147.5357,-147.5357,-147.5357
0.069,-144.9853,-144.9853,-144.9853,-145.5444,-145.5444,-145.5444
0.0692,-142.2801,-142.2801,-142.2801,-142.9786,-142.9786,-142.9786
0.0694,-139.0118,-139.0118,-139.0118,-139.8486,-139.8486,-139.8486
0.0696,-135.1934,-135.1934,-135.1934,-136.1666,-136.1666,-136.1666
0.0698,-130.8399,-130.8399,-130.8399,-131.9473,-131.9473,-131.9473
0.07,-125.9686,-125.9686,-125.9686,-127.2072,-127.2072,-127.2072
0.0702,-120.5987,-120.5987,-120.5987,-121.9651,-121.9651,-121.9651
0.0704,-114.7515,-114.7515,-114.7515,-116.2417,-116.2417,-116.2417
0.0706,-108.4502,-108.4502,-108.4502,-110.0595,-110.0595,-110.0595
0.0708,-101.7196,-101.7196,-101.7196,-103.4429,-103.4429,-103.4429
0.071,-94.5864,-94.5864,-94.5864,-96.4181,-96.4181,-96.4181
0.0712,-87.0788,-87.0788,-87.0788,-89.0128,-89.0128,-89.0128
0.0714,-79.2266,-79.2266,-79.2266,-81.2562,-81.2562,-81.2562
0.0716,-71.0607,-71.0607,-71.0607,-73.1789,-73.1789,-73.1789
0.0718,-62.6136,-62.6136,-62.6136,-64.8129,-64.8129,-64.8129
0.072,-53.9186,-53.9186,-53.9186,-53.9186,-56.191,-56.191
0.0722,-45.0102,-45.0102,-45.0102,-45.0102,-47.3474,-47.3474
0.0724,-35.9236,-35.9236,-35.9236,-35.9236,-38.3169,-38.3169
0.0726,-26.6948,-26.6948,-26.6948,-26.6948,-29.1352,-29.1352
0.0728,-17.3603,-17.3603,-17.3603,-17.3603,-19.8385,-19.8385
