time(s),10ms,40ms,70ms,100ms
0.0984,149.9743,161.5008,183.068,200.4318
0.0986,149.481,160.9501,182.4804,199.8378
0.0988,148.3978,159.8098,181.3031,198.6541
0.099,146.7289,158.0841,179.5405,196.885
0.0992,144.481,155.7797,177.1991,194.537
0.0994,141.663,152.9054,174.2878,191.6191
0.0996,138.2859,149.4723,170.8178,188.1423
0.0998,134.363,145.4938,166.8022,184.1199
0.1,129.9099,140.9853,162.2567,179.5675
0.1002,124.9442,135.9644,157.1988,174.5027
0.1004,119.4854,130.4507,151.648,168.945
0.1006,113.555,124.4658,145.626,162.9159
0.1008,107.1766,118.0329,139.1561,156.4389
0.101,100.3751,111.1775,132.2636,149.5392
0.1012,93.1776,103.9261,124.9752,142.2435
0.1014,85.6124,96.3074,117.3193,134.5803
0.1016,77.7093,88.351,109.3258,126.5795
0.1018,69.4995,80.0883,101.026,118.2722
0.102,61.0155,71.5515,92.4521,109.6908
0.1022,52.2907,62.7743,83.6377,100.8689
0.1024,43.3596,53.7909,74.6172,91.8408
0.1026,34.2574,44.6367,65.4259,82.6417
0.1028,25.0199,35.3476,56.0996,73.3077
0.103,15.6838,25.96,46.6749,63.8752
0.1032,6.2858,16.5108,37.1885,54.381
0.1034,-3.137,7.0371,27.6777,44.8622
0.1036,-12.5474,-2.424,18.1794,35.356
0.1038,-21.9083,-11.8353,8.731,25.8995
0.104,-31.1826,-21.1598,-0.6308,16.5296
0.1042,-40.3339,-30.361,-9.8692,7.2831
0.1044,-49.326,-39.4028,-18.9481,-1.8041
0.1046,-58.1235,-48.2497,-27.8321,-10.6964
0.1048,-66.6915,-56.8669,-36.4865,-19.3591
0.105,-74.9963,-65.2206,-44.8774,-27.7584
0.1052,-83.0051,-73.2781,-52.9721,-35.8615
0.1054,-90.6863,-81.0078,-60.7389,-43.6369
0.1056,-98.0096,-88.3793,-68.1476,-51.0541
0.1058,-104.9461,-95.3638,-75.1692,-58.0843
0.106,-111.4684,-101.9338,-81.7764,-64.7002
0.1062,-117.5507,-108.0637,-87.9434,-70.8759
0.1064,-123.1691,-113.7294,-93.6463,-76.5876
0.1066,-128.3015,-118.9087,-98.8628,-81.8129
0.1068,-132.9274,-123.5815,-103.5727,-86.5317
