time(s),correct_value
0.2522,-114.2307
0.2524,-120.1097
0.2526,-125.5146
0.2528,-130.4242
0.253,-134.8191
0.2532,-138.6819
0.2534,-141.9974
0.2536,-144.7525
0.2538,-146.9363
0.254,-148.5402
0.2542,-149.5579
0.2544,-149.9854
0.2546,-149.8209
0.2548,-149.0652
0.255,-147.7212
0.2552,-145.7942
0.2554,-143.2918
0.2556,-140.2239
0.2558,-136.6025
0.256,-132.4421
0.2562,-127.759
0.2564,-122.5717
0.2566,-116.9007
0.2568,-110.7683
0.257,-104.1988
0.2572,-97.218
0.2574,-89.8535
0.2576,-82.1345
0.2578,-74.0913
0.258,-65.7557
0.2582,-57.1606
0.2584,-48.3399
0.2586,-39.3284
0.2588,-30.1617
0.259,-20.876
0.2592,-11.5079
0.2594,-2.0943
0.2596,7.3275
0.2598,16.7203
0.26,26.0472
0.2602,35.2713
0.2604,44.3562
0.2606,53.266
0.2608,61.9657
0.261,70.4207
0.2612,78.5979
0.2614,86.4648
0.2616,93.9906
0.2618,101.1454
0.262,107.901
0.2622,114.2307
0.2624,120.1097
0.2626,125.5146
0.2628,130.4242
0.263,134.8191
0.2632,138.6819
0.2634,141.9974
0.2636,144.7525
0.2638,146.9363
0.264,148.5402
0.2642,149.5579
0.2644,149.9854
0.2646,149.8209
0.2648,149.0652
0.265,147.7212
0.2652,145.7942
0.2654,143.2918
0.2656,140.2239
0.2658,136.6025
0.266,132.4421
0.2662,127.759
0.2664,122.5717
0.2666,116.9007
0.2668,110.7683
0.267,104.1988
0.2672,97.218
0.2674,89.8535
0.2676,82.1345
0.2678,74.0913
0.268,65.7557
0.2682,57.1606
0.2684,48.3399
0.2686,39.3284
0.2688,30.1617
0.269,20.876
0.2692,11.5079
0.2694,2.0943
0.2696,-7.3275
0.2698,-16.7203
0.27,-26.0472
0.2702,-35.2713
0.2704,-44.3562
0.2706,-53.266
0.2708,-61.9657
0.271,-70.4207
0.2712,-78.5979
0.2714,-86.4648
0.2716,-93.9906
0.2718,-101.1454
0.272,-107.901
0.2722,-114.2307
0.2724,-120.1097
0.2726,-125.5146
0.2728,-130.4242
0.273,-134.8191
0.2732,-138.6819
0.2734,-141.9974
0.2736,-144.7525
